"","X","id","Gender","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Inflight.wifi.service","Departure.Arrival.time.convenient","Ease.of.Online.booking","Gate.location","Food.and.drink","Online.boarding","Seat.comfort","Inflight.entertainment","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Inflight.service","Cleanliness","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","satisfaction"
"1613",1612,46690,"Male","Loyal Customer",28,"Personal Travel","Eco",73,2,2,2,4,3,2,3,3,4,3,4,2,3,3,0,0,"neutral or dissatisfied"
"1614",1613,1480,"Female","Loyal Customer",42,"Business travel","Business",737,4,2,3,2,2,4,4,4,4,3,4,1,4,2,0,3,"neutral or dissatisfied"
"1615",1614,77238,"Female","Loyal Customer",23,"Business travel","Business",1590,2,1,5,5,2,2,2,2,3,3,3,4,3,2,0,0,"neutral or dissatisfied"
"1616",1615,64787,"Male","disloyal Customer",25,"Business travel","Eco",190,1,2,0,4,5,0,5,5,2,4,3,1,3,5,0,0,"neutral or dissatisfied"
"1617",1616,117807,"Male","Loyal Customer",35,"Business travel","Business",2506,5,5,4,5,2,5,5,5,5,5,5,3,5,5,0,0,"satisfied"
"1618",1617,40745,"Male","Loyal Customer",43,"Business travel","Business",2554,3,3,3,3,3,3,4,4,4,4,4,1,4,2,7,0,"satisfied"
"1620",1619,113901,"Male","Loyal Customer",35,"Business travel","Business",2295,2,5,5,5,4,2,2,2,2,2,2,1,2,2,24,15,"neutral or dissatisfied"
"1621",1620,84032,"Female","Loyal Customer",48,"Personal Travel","Eco Plus",321,3,3,4,1,4,5,1,3,3,4,3,3,3,2,0,2,"neutral or dissatisfied"
"1622",1621,106587,"Female","Loyal Customer",8,"Personal Travel","Eco",333,4,5,4,2,1,4,1,1,5,2,5,4,4,1,0,0,"neutral or dissatisfied"
"1623",1622,7191,"Female","Loyal Customer",30,"Business travel","Eco",135,4,1,1,1,4,4,4,4,1,1,1,2,1,4,0,0,"neutral or dissatisfied"
"1624",1623,114205,"Female","disloyal Customer",28,"Business travel","Business",846,2,2,2,1,2,2,2,2,4,4,5,4,5,2,35,40,"neutral or dissatisfied"
"1625",1624,89049,"Female","Loyal Customer",43,"Business travel","Business",2139,4,4,4,4,2,5,5,4,4,4,4,3,4,4,0,0,"satisfied"
"1626",1625,69747,"Male","Loyal Customer",37,"Business travel","Business",1610,2,5,5,5,2,3,4,2,2,2,2,3,2,4,0,0,"neutral or dissatisfied"
"1627",1626,102108,"Female","disloyal Customer",61,"Business travel","Business",258,3,3,3,1,4,3,4,4,3,3,5,4,5,4,48,41,"neutral or dissatisfied"
"1628",1627,126152,"Male","disloyal Customer",45,"Business travel","Eco",468,1,3,1,4,1,1,1,1,3,3,3,4,4,1,0,8,"neutral or dissatisfied"
"1629",1628,47774,"Male","Loyal Customer",64,"Business travel","Eco",834,5,5,5,5,5,5,5,5,2,1,5,3,5,5,0,21,"satisfied"
"1631",1630,9293,"Male","Loyal Customer",27,"Personal Travel","Eco",1201,4,5,4,4,4,4,2,4,2,1,4,4,1,4,15,32,"neutral or dissatisfied"
"1632",1631,41133,"Male","disloyal Customer",37,"Business travel","Business",216,4,4,4,3,2,4,2,2,1,3,4,1,3,2,90,76,"neutral or dissatisfied"
"1633",1632,73420,"Male","Loyal Customer",38,"Business travel","Business",797,1,4,4,4,1,4,4,1,1,1,1,4,1,1,0,0,"neutral or dissatisfied"
"1634",1633,80170,"Male","Loyal Customer",22,"Business travel","Business",2475,1,2,3,2,1,1,1,1,4,4,3,4,4,1,0,0,"neutral or dissatisfied"
"1635",1634,52243,"Female","disloyal Customer",39,"Business travel","Business",370,1,1,1,3,1,1,1,1,1,2,3,1,3,1,61,67,"neutral or dissatisfied"
"1636",1635,9689,"Male","Loyal Customer",45,"Business travel","Business",3166,1,1,1,1,2,5,1,5,5,5,5,2,5,3,40,68,"satisfied"
"1637",1636,29988,"Male","Loyal Customer",43,"Business travel","Eco",399,4,5,5,5,4,4,4,4,1,3,3,3,4,4,0,0,"satisfied"
"1638",1637,59150,"Female","Loyal Customer",54,"Business travel","Business",1846,1,1,3,1,5,4,4,4,4,4,4,4,4,4,0,0,"satisfied"
"1639",1638,106249,"Female","Loyal Customer",55,"Personal Travel","Eco",1167,1,4,1,1,5,4,5,4,4,1,4,3,4,4,58,39,"neutral or dissatisfied"
"1640",1639,14402,"Female","Loyal Customer",10,"Personal Travel","Eco",789,1,4,1,4,1,1,1,1,4,2,5,4,4,1,0,0,"neutral or dissatisfied"
"1641",1640,57616,"Female","Loyal Customer",49,"Business travel","Business",2241,4,4,4,4,2,5,4,4,4,4,5,3,4,4,0,0,"satisfied"
"1642",1641,102247,"Female","Loyal Customer",41,"Business travel","Eco",407,2,3,3,3,3,2,3,3,3,5,3,4,3,3,18,21,"neutral or dissatisfied"
"1643",1642,108683,"Female","Loyal Customer",31,"Business travel","Business",577,4,4,4,4,4,4,4,4,3,3,4,3,5,4,0,0,"satisfied"
"1644",1643,30154,"Male","Loyal Customer",70,"Personal Travel","Eco",204,1,3,0,2,4,0,3,4,2,2,2,2,2,4,44,48,"neutral or dissatisfied"
"1645",1644,18742,"Female","Loyal Customer",42,"Business travel","Business",2113,2,2,2,2,1,5,2,5,5,5,5,4,5,5,11,0,"satisfied"
"1646",1645,23525,"Female","Loyal Customer",38,"Business travel","Eco Plus",303,4,1,1,1,4,4,4,4,5,5,5,4,4,4,26,39,"satisfied"
"1647",1646,54569,"Female","disloyal Customer",26,"Business travel","Eco Plus",925,3,3,3,3,1,3,1,1,3,2,4,1,4,1,1,4,"neutral or dissatisfied"
"1648",1647,124716,"Female","Loyal Customer",49,"Personal Travel","Eco",399,2,3,2,2,3,4,3,4,4,2,4,1,4,3,0,0,"neutral or dissatisfied"
"1650",1649,100561,"Female","Loyal Customer",58,"Business travel","Business",2091,4,4,4,4,3,5,5,5,5,5,5,4,5,4,0,0,"satisfied"
"1651",1650,108934,"Male","Loyal Customer",33,"Personal Travel","Eco",1183,2,5,1,3,4,1,4,4,4,4,3,4,4,4,0,0,"neutral or dissatisfied"
"1652",1651,118859,"Female","Loyal Customer",36,"Personal Travel","Eco Plus",646,1,1,1,3,1,3,3,1,1,3,4,3,3,3,155,138,"neutral or dissatisfied"
"1653",1652,37796,"Female","disloyal Customer",39,"Business travel","Eco Plus",628,2,2,2,3,4,2,4,4,2,2,3,2,3,4,109,100,"neutral or dissatisfied"
"1655",1654,107665,"Male","Loyal Customer",43,"Business travel","Business",251,4,4,5,4,4,5,5,4,4,4,4,4,4,3,8,0,"satisfied"
"1657",1656,121840,"Male","Loyal Customer",51,"Business travel","Eco",366,1,2,2,2,1,1,1,1,4,3,3,3,3,1,8,3,"neutral or dissatisfied"
"1660",1659,69855,"Male","Loyal Customer",33,"Personal Travel","Eco",1055,1,4,1,4,2,1,1,2,5,3,4,5,4,2,0,0,"neutral or dissatisfied"
"1661",1660,117113,"Female","disloyal Customer",16,"Business travel","Eco",304,0,0,0,3,3,0,3,3,4,1,5,2,1,3,3,0,"satisfied"
"1662",1661,60127,"Male","Loyal Customer",40,"Business travel","Eco",1050,2,5,5,5,2,3,2,2,4,4,4,4,4,2,0,0,"neutral or dissatisfied"
"1664",1663,15965,"Male","Loyal Customer",23,"Personal Travel","Eco",473,1,3,1,3,4,1,4,4,5,5,4,5,4,4,0,0,"neutral or dissatisfied"
"1666",1665,43733,"Female","Loyal Customer",67,"Personal Travel","Eco Plus",257,3,2,3,3,4,3,3,4,4,3,4,2,4,2,0,0,"neutral or dissatisfied"
"1667",1666,23499,"Female","Loyal Customer",46,"Business travel","Eco",303,4,2,2,2,2,1,1,3,3,4,3,2,3,1,26,21,"neutral or dissatisfied"
"1668",1667,123327,"Female","Loyal Customer",60,"Business travel","Eco Plus",107,1,5,5,5,1,4,3,1,1,1,1,4,1,2,0,0,"neutral or dissatisfied"
"1669",1668,81544,"Male","Loyal Customer",65,"Personal Travel","Eco",1124,2,1,2,3,3,2,3,3,2,4,3,2,3,3,0,0,"neutral or dissatisfied"
"1671",1670,105561,"Male","Loyal Customer",47,"Business travel","Business",1528,1,1,5,1,3,5,5,5,5,5,5,3,5,4,20,20,"satisfied"
"1672",1671,110434,"Male","Loyal Customer",24,"Personal Travel","Eco",925,5,5,5,5,5,5,5,5,1,3,5,5,3,5,0,0,"satisfied"
"1673",1672,117449,"Female","Loyal Customer",51,"Business travel","Business",1107,1,3,3,3,2,3,3,1,1,1,1,4,1,4,2,6,"neutral or dissatisfied"
"1676",1675,2229,"Female","Loyal Customer",32,"Personal Travel","Eco",859,5,4,5,3,3,5,3,3,4,4,4,5,4,3,17,7,"satisfied"
"1679",1678,67335,"Male","Loyal Customer",31,"Business travel","Business",1471,2,2,2,2,5,5,5,5,4,2,4,3,5,5,0,0,"satisfied"
"1680",1679,128390,"Female","Loyal Customer",38,"Business travel","Business",2492,2,3,3,3,3,4,3,2,2,2,2,3,2,1,43,29,"neutral or dissatisfied"
"1681",1680,10870,"Female","Loyal Customer",31,"Business travel","Eco",191,2,5,5,5,2,2,2,2,4,5,4,1,3,2,24,22,"neutral or dissatisfied"
"1682",1681,3714,"Female","Loyal Customer",8,"Personal Travel","Eco",431,3,2,3,3,3,3,3,3,1,2,4,1,4,3,0,83,"neutral or dissatisfied"
"1683",1682,71341,"Male","Loyal Customer",58,"Personal Travel","Eco",1514,1,3,1,4,5,1,5,5,4,2,4,3,3,5,4,31,"neutral or dissatisfied"
"1684",1683,12702,"Male","Loyal Customer",47,"Business travel","Business",3077,4,4,4,4,3,5,1,4,4,4,4,2,4,1,23,40,"neutral or dissatisfied"
"1685",1684,40014,"Female","Loyal Customer",50,"Business travel","Business",575,5,5,5,5,4,2,1,2,2,2,2,5,2,4,0,0,"satisfied"
"1686",1685,39132,"Female","Loyal Customer",39,"Business travel","Business",3700,4,4,4,4,2,2,1,5,5,5,5,4,5,5,0,0,"satisfied"
"1687",1686,67705,"Male","Loyal Customer",58,"Business travel","Business",1944,3,2,2,2,4,4,3,3,3,3,3,4,3,1,28,34,"neutral or dissatisfied"
"1690",1689,96548,"Male","Loyal Customer",80,"Business travel","Business",1990,2,2,2,2,5,4,5,5,5,5,5,4,5,5,9,0,"satisfied"
"1692",1691,59656,"Female","Loyal Customer",34,"Personal Travel","Eco",965,4,4,5,3,5,5,5,5,4,3,4,4,5,5,0,0,"satisfied"
"1694",1693,87694,"Male","Loyal Customer",65,"Personal Travel","Eco",591,2,5,2,2,4,2,4,4,3,4,4,3,4,4,71,69,"neutral or dissatisfied"
"1695",1694,6071,"Female","Loyal Customer",30,"Personal Travel","Eco",1236,3,5,3,4,3,3,3,3,4,3,5,4,4,3,0,0,"neutral or dissatisfied"
"1696",1695,109152,"Male","Loyal Customer",46,"Business travel","Business",655,2,2,2,2,5,4,4,4,4,4,4,5,4,5,0,0,"satisfied"
"1698",1697,58820,"Female","Loyal Customer",50,"Personal Travel","Eco",1182,1,3,1,4,2,3,4,3,3,1,3,3,3,2,68,82,"neutral or dissatisfied"
"1699",1698,20883,"Female","disloyal Customer",26,"Business travel","Eco Plus",508,5,5,5,5,4,5,4,4,1,1,4,1,1,4,9,0,"satisfied"
"1702",1701,79922,"Female","disloyal Customer",26,"Business travel","Eco",1096,3,3,3,3,4,3,4,4,2,2,3,3,4,4,0,0,"neutral or dissatisfied"
"1703",1702,129096,"Male","disloyal Customer",19,"Business travel","Eco",1304,3,3,3,4,3,2,1,2,4,4,4,1,1,1,0,18,"neutral or dissatisfied"
"1704",1703,28065,"Female","disloyal Customer",20,"Business travel","Eco",1372,3,3,3,5,3,3,3,1,3,3,3,3,4,3,3,72,"neutral or dissatisfied"
"1705",1704,106832,"Female","disloyal Customer",27,"Business travel","Business",1733,1,1,1,4,2,1,2,2,2,4,4,2,3,2,0,0,"neutral or dissatisfied"
"1707",1706,11062,"Male","Loyal Customer",20,"Personal Travel","Eco",216,4,2,4,4,3,4,4,3,2,3,4,1,4,3,0,0,"neutral or dissatisfied"
"1709",1708,108541,"Male","Loyal Customer",34,"Business travel","Business",511,2,2,2,2,2,4,4,5,5,5,5,4,5,4,12,11,"satisfied"
"1710",1709,55971,"Female","Loyal Customer",24,"Personal Travel","Eco",1620,4,4,4,1,1,4,1,1,5,5,5,5,4,1,0,0,"satisfied"
"1711",1710,73607,"Male","disloyal Customer",21,"Business travel","Eco",204,5,0,5,1,4,5,4,4,5,4,5,4,4,4,0,0,"satisfied"
"1712",1711,37255,"Male","disloyal Customer",28,"Business travel","Eco",828,3,3,3,2,4,3,4,4,1,5,3,1,4,4,19,19,"neutral or dissatisfied"
"1713",1712,121300,"Female","Loyal Customer",59,"Business travel","Business",2877,4,4,4,4,4,4,5,4,4,4,4,3,4,4,44,35,"satisfied"
"1714",1713,128586,"Male","Loyal Customer",30,"Business travel","Business",2552,4,2,2,2,4,4,4,4,2,4,2,4,1,4,0,0,"neutral or dissatisfied"
"1715",1714,119627,"Male","Loyal Customer",35,"Personal Travel","Eco",1927,2,4,1,4,1,5,5,4,3,4,5,5,4,5,190,181,"neutral or dissatisfied"
"1716",1715,84558,"Male","Loyal Customer",54,"Personal Travel","Eco",2399,5,3,5,4,3,5,3,3,3,2,4,2,3,3,0,0,"satisfied"
"1717",1716,38708,"Male","disloyal Customer",27,"Business travel","Eco",2583,3,3,3,3,5,3,5,5,2,4,3,2,3,5,43,48,"neutral or dissatisfied"
"1719",1718,48483,"Female","disloyal Customer",30,"Business travel","Eco",844,3,3,3,4,3,3,3,3,3,3,3,2,4,3,4,0,"neutral or dissatisfied"
"1720",1719,50705,"Male","Loyal Customer",61,"Personal Travel","Eco",156,1,4,0,3,2,0,1,2,3,5,4,5,5,2,0,0,"neutral or dissatisfied"
"1721",1720,60000,"Male","Loyal Customer",61,"Personal Travel","Eco",937,2,3,2,4,1,2,1,1,4,1,1,2,4,1,0,0,"neutral or dissatisfied"
"1723",1722,51776,"Male","Loyal Customer",48,"Personal Travel","Eco",370,4,5,2,1,5,2,5,5,3,4,4,5,5,5,89,78,"neutral or dissatisfied"
"1724",1723,100843,"Male","Loyal Customer",50,"Personal Travel","Eco",711,3,4,3,2,3,3,3,3,3,4,4,5,5,3,0,9,"neutral or dissatisfied"
"1725",1724,84133,"Female","disloyal Customer",34,"Business travel","Eco",782,3,3,3,3,4,3,4,4,1,5,3,2,4,4,0,4,"neutral or dissatisfied"
"1726",1725,82240,"Female","Loyal Customer",68,"Personal Travel","Eco",405,2,3,2,4,5,2,1,2,2,2,2,5,2,4,0,0,"neutral or dissatisfied"
"1727",1726,37252,"Female","Loyal Customer",62,"Personal Travel","Business",1047,4,5,4,3,3,5,5,5,5,4,3,4,5,4,0,0,"neutral or dissatisfied"
"1728",1727,48440,"Female","Loyal Customer",39,"Business travel","Eco",846,4,3,3,3,4,4,4,4,4,5,3,5,3,4,0,17,"satisfied"
"1729",1728,81630,"Female","Loyal Customer",48,"Business travel","Business",1854,1,1,1,1,4,4,4,2,2,2,2,3,2,4,14,0,"satisfied"
"1730",1729,31437,"Female","disloyal Customer",54,"Business travel","Eco Plus",1007,4,4,4,4,4,4,1,4,4,2,3,1,3,4,0,17,"neutral or dissatisfied"
"1731",1730,113762,"Male","disloyal Customer",28,"Personal Travel","Eco",223,1,4,1,3,4,1,4,4,5,2,4,3,5,4,0,0,"neutral or dissatisfied"
"1732",1731,90247,"Female","Loyal Customer",28,"Personal Travel","Eco",1121,1,4,1,4,5,1,5,5,5,4,5,3,5,5,0,0,"neutral or dissatisfied"
"1734",1733,97127,"Female","disloyal Customer",60,"Business travel","Eco",1211,1,1,1,4,1,1,1,1,1,2,3,4,4,1,16,14,"neutral or dissatisfied"
"1735",1734,60284,"Male","Loyal Customer",14,"Personal Travel","Eco",326,2,4,2,4,2,1,1,3,1,5,4,1,2,1,202,205,"neutral or dissatisfied"
"1736",1735,103404,"Male","Loyal Customer",34,"Business travel","Business",237,3,3,3,3,5,3,3,3,3,3,3,3,3,4,19,13,"neutral or dissatisfied"
"1737",1736,60548,"Male","Loyal Customer",42,"Business travel","Business",862,1,1,1,1,4,4,5,4,4,4,4,3,4,3,11,13,"satisfied"
"1738",1737,20442,"Female","Loyal Customer",49,"Business travel","Eco",177,4,3,3,3,1,4,3,4,4,4,4,4,4,2,7,0,"satisfied"
"1739",1738,83427,"Male","Loyal Customer",37,"Personal Travel","Eco",632,1,5,1,2,2,1,2,2,5,3,5,3,4,2,0,8,"neutral or dissatisfied"
"1740",1739,83897,"Male","Loyal Customer",43,"Business travel","Business",1450,2,5,5,5,1,2,3,2,2,2,2,2,2,1,34,4,"neutral or dissatisfied"
"1741",1740,89676,"Female","Loyal Customer",18,"Business travel","Business",3690,1,3,3,3,1,1,1,1,2,4,3,1,4,1,214,201,"neutral or dissatisfied"
"1742",1741,129365,"Female","Loyal Customer",48,"Business travel","Business",2454,3,3,3,3,2,3,4,5,5,5,5,3,5,5,4,0,"satisfied"
"1743",1742,75274,"Female","Loyal Customer",33,"Personal Travel","Eco",1723,0,1,0,4,1,0,1,1,4,4,4,2,4,1,0,0,"satisfied"
"1745",1744,17695,"Male","Loyal Customer",20,"Business travel","Business",2041,1,1,1,1,3,3,3,3,5,1,4,5,3,3,0,1,"satisfied"
"1746",1745,93317,"Male","Loyal Customer",42,"Business travel","Business",3454,3,4,3,3,4,4,5,5,5,5,5,3,5,3,0,0,"satisfied"
"1748",1747,61502,"Male","disloyal Customer",22,"Business travel","Eco",753,5,5,5,1,5,5,5,5,2,2,2,1,5,5,0,0,"satisfied"
"1749",1748,71202,"Male","Loyal Customer",45,"Business travel","Business",1700,3,3,3,3,2,4,5,4,4,4,4,3,4,3,0,0,"satisfied"
"1750",1749,53579,"Female","Loyal Customer",48,"Personal Travel","Eco",1195,2,5,2,3,4,4,5,2,2,2,2,5,2,4,9,1,"neutral or dissatisfied"
"1751",1750,27173,"Male","Loyal Customer",7,"Personal Travel","Eco",2677,2,2,3,3,3,1,1,1,3,3,3,1,1,1,0,0,"neutral or dissatisfied"
"1752",1751,117933,"Male","Loyal Customer",54,"Business travel","Business",255,1,1,4,1,4,5,5,4,4,4,4,5,4,5,0,0,"satisfied"
"1753",1752,27549,"Female","Loyal Customer",25,"Personal Travel","Eco",679,2,3,2,4,1,2,1,1,3,5,4,2,2,1,33,21,"neutral or dissatisfied"
"1754",1753,93552,"Female","Loyal Customer",43,"Business travel","Business",719,3,3,3,3,4,5,5,4,4,4,4,3,4,4,0,1,"satisfied"
"1755",1754,5859,"Male","Loyal Customer",40,"Personal Travel","Eco",1020,1,0,1,4,5,1,4,5,3,5,4,2,2,5,0,3,"neutral or dissatisfied"
"1756",1755,83497,"Male","Loyal Customer",46,"Business travel","Eco",546,4,2,2,2,4,4,4,5,2,2,2,4,5,4,266,262,"satisfied"
"1757",1756,91934,"Female","Loyal Customer",50,"Business travel","Business",2475,2,2,2,2,5,3,3,2,2,2,2,3,2,2,1,0,"neutral or dissatisfied"
"1758",1757,31894,"Female","Loyal Customer",33,"Personal Travel","Eco",2762,1,0,1,1,2,1,2,2,2,5,4,2,5,2,0,0,"neutral or dissatisfied"
"1759",1758,4745,"Female","Loyal Customer",38,"Personal Travel","Eco",888,3,2,3,3,1,3,1,1,3,1,4,1,3,1,0,0,"neutral or dissatisfied"
"1760",1759,96344,"Female","Loyal Customer",40,"Business travel","Business",1609,1,4,4,4,1,3,3,1,1,1,1,2,1,3,1,21,"neutral or dissatisfied"
"1761",1760,118568,"Female","Loyal Customer",70,"Business travel","Eco",370,2,3,3,3,4,2,2,2,2,2,2,2,2,4,14,20,"neutral or dissatisfied"
"1762",1761,1047,"Female","disloyal Customer",45,"Business travel","Eco",229,2,0,2,2,5,2,5,5,5,1,5,4,2,5,0,0,"neutral or dissatisfied"
"1763",1762,88528,"Male","Loyal Customer",52,"Personal Travel","Eco",404,2,5,2,2,4,2,4,4,1,2,2,5,3,4,0,0,"neutral or dissatisfied"
"1764",1763,64317,"Female","disloyal Customer",57,"Business travel","Business",1192,3,3,3,1,4,3,4,4,4,2,5,5,4,4,0,7,"neutral or dissatisfied"
"1765",1764,104260,"Male","Loyal Customer",48,"Business travel","Business",456,1,1,1,1,3,5,5,4,4,4,4,5,4,3,27,11,"satisfied"
"1766",1765,69379,"Female","disloyal Customer",49,"Business travel","Business",1089,3,3,3,3,5,3,5,5,3,5,5,5,4,5,0,0,"neutral or dissatisfied"
"1767",1766,6980,"Male","Loyal Customer",38,"Business travel","Business",2399,3,3,3,3,3,5,5,5,5,5,5,5,5,5,28,25,"satisfied"
"1768",1767,43299,"Male","Loyal Customer",44,"Business travel","Eco",387,5,3,2,3,4,5,4,4,2,3,5,5,1,4,0,0,"satisfied"
"1769",1768,13418,"Male","Loyal Customer",22,"Business travel","Business",2031,1,2,1,1,5,5,5,5,1,4,1,2,1,5,1,16,"satisfied"
"1770",1769,94829,"Male","Loyal Customer",46,"Business travel","Business",341,5,5,5,5,2,5,5,4,4,4,4,4,4,5,0,0,"satisfied"
"1771",1770,36241,"Male","Loyal Customer",41,"Business travel","Business",612,4,4,4,4,2,4,4,4,4,4,4,4,4,5,0,0,"satisfied"
"1772",1771,42745,"Male","Loyal Customer",38,"Personal Travel","Eco Plus",536,2,4,2,5,4,2,1,4,4,5,5,3,5,4,47,29,"neutral or dissatisfied"
"1774",1773,123726,"Female","Loyal Customer",31,"Business travel","Business",214,5,5,5,5,5,5,5,5,5,5,5,3,5,5,0,3,"satisfied"
"1777",1776,36387,"Male","Loyal Customer",49,"Personal Travel","Eco",200,4,2,4,1,4,4,4,4,2,2,1,4,2,4,0,9,"neutral or dissatisfied"
"1778",1777,95167,"Female","Loyal Customer",33,"Personal Travel","Eco",319,3,4,3,3,2,3,1,2,3,5,4,3,4,2,20,13,"neutral or dissatisfied"
"1779",1778,103339,"Female","Loyal Customer",62,"Personal Travel","Eco",1371,1,5,2,2,3,4,5,3,3,2,3,4,3,5,0,9,"neutral or dissatisfied"
"1780",1779,26265,"Male","Loyal Customer",38,"Business travel","Business",2779,3,2,2,2,3,3,2,3,3,4,3,1,3,4,21,15,"neutral or dissatisfied"
"1783",1782,12911,"Female","Loyal Customer",30,"Business travel","Business",674,2,3,3,3,2,2,2,2,2,2,3,1,3,2,1,18,"neutral or dissatisfied"
"1784",1783,62564,"Male","Loyal Customer",42,"Business travel","Business",1744,1,1,1,1,2,5,4,4,4,4,4,4,4,3,0,0,"satisfied"
"1785",1784,83367,"Female","Loyal Customer",43,"Business travel","Business",1124,4,1,1,1,4,4,4,4,4,4,4,1,4,4,65,60,"neutral or dissatisfied"
"1786",1785,2220,"Male","Loyal Customer",39,"Business travel","Business",3098,1,1,1,1,2,5,4,4,4,5,4,4,4,5,0,0,"satisfied"
"1787",1786,129419,"Male","Loyal Customer",59,"Business travel","Business",2863,5,5,5,5,3,4,5,3,3,3,3,4,3,4,0,0,"satisfied"
"1788",1787,8440,"Male","disloyal Customer",22,"Business travel","Business",590,0,0,0,2,2,0,4,2,5,3,5,5,4,2,2,0,"satisfied"
"1791",1790,73575,"Male","Loyal Customer",42,"Business travel","Business",3222,3,3,3,3,4,5,5,3,3,4,4,5,3,5,0,0,"satisfied"
"1793",1792,128839,"Male","Loyal Customer",51,"Personal Travel","Eco",2475,2,4,2,3,2,5,3,5,4,4,5,3,5,3,0,0,"neutral or dissatisfied"
"1794",1793,72341,"Male","Loyal Customer",58,"Business travel","Business",985,4,4,3,4,5,5,5,4,4,4,4,3,4,3,0,0,"satisfied"
"1795",1794,70846,"Male","disloyal Customer",25,"Business travel","Business",761,3,0,3,5,3,3,1,3,5,2,4,4,4,3,0,0,"neutral or dissatisfied"
"1797",1796,32108,"Male","disloyal Customer",20,"Business travel","Eco",101,2,0,2,5,1,2,1,1,5,5,1,3,2,1,1,11,"neutral or dissatisfied"
"1798",1797,111386,"Female","Loyal Customer",56,"Business travel","Business",773,4,4,4,4,5,4,5,4,4,4,4,4,4,3,0,0,"satisfied"
"1800",1799,13652,"Male","Loyal Customer",44,"Business travel","Eco",196,3,5,5,5,3,3,3,3,3,3,2,4,3,3,18,12,"neutral or dissatisfied"
"1804",1803,101817,"Female","Loyal Customer",73,"Business travel","Eco",1121,2,2,2,2,2,4,4,2,2,2,2,4,2,4,106,69,"neutral or dissatisfied"
"1805",1804,120100,"Male","disloyal Customer",42,"Business travel","Business",1576,4,4,4,4,5,4,5,5,4,3,4,5,5,5,0,0,"neutral or dissatisfied"
"1807",1806,44025,"Male","Loyal Customer",55,"Personal Travel","Eco",802,2,2,2,4,3,2,3,3,2,4,4,4,3,3,63,56,"neutral or dissatisfied"
"1808",1807,99078,"Male","Loyal Customer",51,"Business travel","Business",2343,5,5,2,5,3,5,5,4,4,4,4,3,4,5,0,0,"satisfied"
"1809",1808,55734,"Male","Loyal Customer",40,"Business travel","Business",2161,5,5,5,5,4,5,4,5,5,5,5,5,5,3,0,0,"satisfied"
"1810",1809,48778,"Male","disloyal Customer",27,"Business travel","Business",109,4,4,4,2,4,4,4,4,4,2,4,4,4,4,0,0,"neutral or dissatisfied"
"1811",1810,103406,"Male","Loyal Customer",33,"Business travel","Eco",237,2,5,5,5,2,2,2,2,2,1,4,1,4,2,0,0,"neutral or dissatisfied"
"1812",1811,135,"Male","disloyal Customer",56,"Business travel","Business",227,3,3,3,1,2,3,3,2,4,3,4,5,5,2,0,0,"neutral or dissatisfied"
"1814",1813,72234,"Male","Loyal Customer",32,"Business travel","Business",921,4,4,4,4,4,4,4,4,3,5,1,2,1,4,0,0,"neutral or dissatisfied"
"1815",1814,22527,"Female","disloyal Customer",18,"Business travel","Eco",208,5,0,5,4,2,5,4,2,4,5,3,1,5,2,0,0,"satisfied"
"1816",1815,61377,"Female","disloyal Customer",43,"Business travel","Business",679,3,3,3,3,4,3,4,4,5,2,5,5,4,4,0,4,"neutral or dissatisfied"
"1817",1816,17730,"Male","Loyal Customer",42,"Business travel","Eco",383,3,2,4,4,3,3,3,3,1,2,3,1,3,3,73,NA,"neutral or dissatisfied"
"1819",1818,8286,"Female","Loyal Customer",38,"Personal Travel","Eco",125,2,2,2,3,5,2,5,5,1,4,3,3,3,5,0,0,"neutral or dissatisfied"
"1823",1822,31232,"Female","Loyal Customer",43,"Personal Travel","Business",472,3,5,2,1,2,5,3,5,5,2,5,3,5,4,0,0,"neutral or dissatisfied"
"1824",1823,22147,"Male","Loyal Customer",18,"Personal Travel","Business",633,3,4,3,4,1,3,5,1,3,2,5,4,5,1,0,0,"neutral or dissatisfied"
"1825",1824,13716,"Male","Loyal Customer",58,"Business travel","Business",2800,5,5,5,5,1,3,2,5,5,5,5,1,5,2,126,114,"satisfied"
"1826",1825,61879,"Female","Loyal Customer",27,"Business travel","Business",2521,5,5,3,5,5,5,5,5,3,4,5,4,4,5,0,11,"satisfied"
"1829",1828,10037,"Male","Loyal Customer",61,"Personal Travel","Eco",630,4,5,4,4,3,4,3,3,4,2,4,5,4,3,40,45,"neutral or dissatisfied"
"1831",1830,50604,"Male","Loyal Customer",63,"Personal Travel","Eco",421,3,4,3,4,5,3,5,5,1,4,3,4,3,5,6,0,"neutral or dissatisfied"
"1832",1831,28201,"Male","Loyal Customer",20,"Personal Travel","Eco",834,3,5,3,2,5,3,5,5,4,2,4,5,5,5,0,0,"neutral or dissatisfied"
"1833",1832,91949,"Male","Loyal Customer",67,"Personal Travel","Eco",2446,3,4,3,5,3,5,5,3,4,4,4,5,5,5,332,NA,"neutral or dissatisfied"
"1834",1833,66144,"Female","Loyal Customer",27,"Personal Travel","Eco",583,3,5,3,2,1,3,1,1,5,3,5,3,5,1,51,55,"neutral or dissatisfied"
"1835",1834,59544,"Male","Loyal Customer",24,"Business travel","Business",787,3,3,3,3,5,5,5,5,3,4,5,4,5,5,58,50,"satisfied"
